% Device,CC2125003
% File name,CC2125003_20220506_172301
% Cast time (UTC),2022-05-06 17:23:01
% Cast time (local),2022-05-06 11:23:01
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,33.2847372
% Start longitude,-107.1624466
% Start altitude,1307.1719970703125
% Start GPS horizontal error(Meter),12.829000473022461
% Start GPS vertical error(Meter),15.260000228881836
% Start GPS number of satellites,10
% End latitude,33.2847303
% End longitude,-107.1625106
% End altitude,1304.3360595703125
% End GPS horizontal error(Meter),9.9750003814697266
% End GPS vertical error(Meter),11.630000114440918
% End GPS number of satellites,10
% Cast duration (Seconds),94.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2021-08-06
% Temperature calibration date,2021-07-23
% Pressure calibration date,2021-06-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15342845885969372,20.106570747588215,600.42111425582743,665.55837021586387,0.32390715736520242,1483.0643968969837,998.43276006314056
0.44999999999999996,0.45988305171002947,19.327852919568496,571.11941759963827,644.19927876488475,0.31311256696721784,1480.6497030546939,998.58465638181235
0.74999999999999989,0.76643307941553984,19.024381447846693,539.97017906863164,613.26265277378752,0.297618329555924,1479.6847713210368,998.63430015407425
1.05,1.0729688839915939,18.762066838933492,515.85338717360207,589.3841681109385,0.28567888759378085,1478.8467682402902,998.6777061880872
1.35,1.3794903200462196,18.426685949628027,477.52402492686144,549.80481987591281,0.26596007164366436,1477.7601853129786,998.72830665765764
1.65,1.6859958280357266,18.091260562128458,449.17332549203434,521.18842618263818,0.25172599086163361,1476.6702448497267,998.78188486816771
1.9500000000000002,1.9924877218795876,17.9044412086242,446.21874011470783,520.01462732605592,0.25110318127013215,1476.0697881300814,998.81741387993134
2.25,2.2989713501656306,17.758179407442157,423.34155121280708,495.04160032024606,0.23874482407662906,1475.5846408457319,998.83613786370086
2.55,2.6054419620207745,17.3871982671392,415.58098281189723,490.21992464889757,0.23627826777875866,1474.3723673013603,998.90264047023618
2.85,2.91189614925846,17.166347230445929,414.37686567830292,491.35968953353506,0.23678206046066894,1473.6493591335316,998.94358675263152
3.1794297988402018,3.2484075026088135,17.20951178565009,414.51962014897367,491.02631446438261,0.23662817300717404,1473.797285295595,998.93737882912228
